"_id","name","url","promoted_content","query","tweet_volume"
"ObjectId(""614e78145cb8eb1c415071b8"")","Alexandre Garcia","http://twitter.com/search?q=%22Alexandre+Garcia%22",,"%22Alexandre+Garcia%22",31536
"ObjectId(""614e78145cb8eb1c415071b9"")","#CNNLixo","http://twitter.com/search?q=%23CNNLixo",,"%23CNNLixo",
"ObjectId(""614e78145cb8eb1c415071ba"")","#200KUniversoLGBTI","http://twitter.com/search?q=%23200KUniversoLGBTI",,"%23200KUniversoLGBTI",
"ObjectId(""614e78145cb8eb1c415071bb"")","Liberdade de Opinião","http://twitter.com/search?q=%22Liberdade+de+Opini%C3%A3o%22",,"%22Liberdade+de+Opini%C3%A3o%22",14265
"ObjectId(""614e78145cb8eb1c415071bc"")","Jovem Pan","http://twitter.com/search?q=%22Jovem+Pan%22",,"%22Jovem+Pan%22",
"ObjectId(""614e78145cb8eb1c415071bd"")","Brusque","http://twitter.com/search?q=Brusque",,"Brusque",
"ObjectId(""614e78145cb8eb1c415071be"")","teen wolf","http://twitter.com/search?q=%22teen+wolf%22",,"%22teen+wolf%22",339480
"ObjectId(""614e78145cb8eb1c415071bf"")","Carla Diaz","http://twitter.com/search?q=%22Carla+Diaz%22",,"%22Carla+Diaz%22",52679
"ObjectId(""614e78145cb8eb1c415071c0"")","Jovem Klan","http://twitter.com/search?q=%22Jovem+Klan%22",,"%22Jovem+Klan%22",
"ObjectId(""614e78145cb8eb1c415071c1"")","Vanderlei","http://twitter.com/search?q=Vanderlei",,"Vanderlei",
"ObjectId(""614e78145cb8eb1c415071c2"")","#VoleiNoSporTV","http://twitter.com/search?q=%23VoleiNoSporTV",,"%23VoleiNoSporTV",
"ObjectId(""614e78145cb8eb1c415071c3"")","#imperio","http://twitter.com/search?q=%23imperio",,"%23imperio",
"ObjectId(""614e78145cb8eb1c415071c4"")","Suzane","http://twitter.com/search?q=Suzane",,"Suzane",29974
"ObjectId(""614e78145cb8eb1c415071c5"")","Cora","http://twitter.com/search?q=Cora",,"Cora",
"ObjectId(""614e78145cb8eb1c415071c6"")","Marquinhos Gabriel","http://twitter.com/search?q=%22Marquinhos+Gabriel%22",,"%22Marquinhos+Gabriel%22",
"ObjectId(""614e78145cb8eb1c415071c7"")","CNN Brasil","http://twitter.com/search?q=%22CNN+Brasil%22",,"%22CNN+Brasil%22",
